Data,Ano,MesNumero,MesNome,AnoMes,OrdemAnoMes,Trimestre
2020-12-31,2020,12,dezembro,2020-12,202012,T4
2021-01-31,2021,1,janeiro,2021-01,202101,T1
2021-02-28,2021,2,fevereiro,2021-02,202102,T1
2021-03-31,2021,3,março,2021-03,202103,T1
2021-04-30,2021,4,abril,2021-04,202104,T2
2021-05-31,2021,5,maio,2021-05,202105,T2
2021-06-30,2021,6,junho,2021-06,202106,T2
2021-07-31,2021,7,julho,2021-07,202107,T3
2021-08-31,2021,8,agosto,2021-08,202108,T3
2021-09-30,2021,9,setembro,2021-09,202109,T3
2021-10-31,2021,10,outubro,2021-10,202110,T4
2021-11-30,2021,11,novembro,2021-11,202111,T4
2021-12-31,2021,12,dezembro,2021-12,202112,T4
2022-01-31,2022,1,janeiro,2022-01,202201,T1
2022-02-28,2022,2,fevereiro,2022-02,202202,T1
2022-03-31,2022,3,março,2022-03,202203,T1
2022-04-30,2022,4,abril,2022-04,202204,T2
2022-05-31,2022,5,maio,2022-05,202205,T2
2022-06-30,2022,6,junho,2022-06,202206,T2
2022-07-31,2022,7,julho,2022-07,202207,T3
2022-08-31,2022,8,agosto,2022-08,202208,T3
2022-09-30,2022,9,setembro,2022-09,202209,T3
2022-10-31,2022,10,outubro,2022-10,202210,T4
2022-11-30,2022,11,novembro,2022-11,202211,T4
2022-12-31,2022,12,dezembro,2022-12,202212,T4
2023-01-31,2023,1,janeiro,2023-01,202301,T1
2023-02-28,2023,2,fevereiro,2023-02,202302,T1
2023-03-31,2023,3,março,2023-03,202303,T1
2023-04-30,2023,4,abril,2023-04,202304,T2
2023-05-31,2023,5,maio,2023-05,202305,T2
2023-06-30,2023,6,junho,2023-06,202306,T2
2023-07-31,2023,7,julho,2023-07,202307,T3
2023-08-31,2023,8,agosto,2023-08,202308,T3
2023-09-30,2023,9,setembro,2023-09,202309,T3
2023-10-31,2023,10,outubro,2023-10,202310,T4
2023-11-30,2023,11,novembro,2023-11,202311,T4
2023-12-31,2023,12,dezembro,2023-12,202312,T4
2024-01-31,2024,1,janeiro,2024-01,202401,T1
2024-02-29,2024,2,fevereiro,2024-02,202402,T1
2024-03-31,2024,3,março,2024-03,202403,T1
2024-04-30,2024,4,abril,2024-04,202404,T2
2024-05-31,2024,5,maio,2024-05,202405,T2
2024-06-30,2024,6,junho,2024-06,202406,T2
2024-07-31,2024,7,julho,2024-07,202407,T3
2024-08-31,2024,8,agosto,2024-08,202408,T3
2024-09-30,2024,9,setembro,2024-09,202409,T3
2024-10-31,2024,10,outubro,2024-10,202410,T4
2024-11-30,2024,11,novembro,2024-11,202411,T4
2024-12-31,2024,12,dezembro,2024-12,202412,T4
2025-01-31,2025,1,janeiro,2025-01,202501,T1
2025-02-28,2025,2,fevereiro,2025-02,202502,T1
2025-03-31,2025,3,março,2025-03,202503,T1
2025-04-30,2025,4,abril,2025-04,202504,T2
2025-05-31,2025,5,maio,2025-05,202505,T2
2025-06-30,2025,6,junho,2025-06,202506,T2
2025-07-31,2025,7,julho,2025-07,202507,T3
2025-08-31,2025,8,agosto,2025-08,202508,T3
2025-09-30,2025,9,setembro,2025-09,202509,T3
2025-10-31,2025,10,outubro,2025-10,202510,T4
2025-11-30,2025,11,novembro,2025-11,202511,T4
2025-12-31,2025,12,dezembro,2025-12,202512,T4
